3410,3351,3032,10186,3409,3351,3031,10184
3409,3351,3032,10185,3410,3352,3032,10184
3409,3351,3032,10185,3410,3351,3032,10186
3411,3352,3032,10188,3412,3353,3033,10191
3412,3354,3034,10194,3413,3354,3034,10193
3412,3354,3034,10193,3413,3354,3034,10193
3414,3355,3034,10196,3413,3355,3034,10195
3413,3355,3034,10195,3414,3355,3034,10196
3413,3355,3034,10197,3413,3355,3034,10195
3414,3355,3034,10197,3413,3355,3034,10195
3413,3355,3034,10195,3413,3355,3034,10196
3413,3355,3034,10195,3413,3354,3034,10194
3414,3356,3035,10198,3415,3357,3035,10200
3414,3355,3034,10197,3413,3355,3034,10196
3413,3354,3033,10194,3414,3355,3034,10196
3414,3356,3035,10199,3415,3356,3035,10200
3414,3356,3035,10198,3414,3355,3034,10196
3413,3354,3034,10195,3413,3354,3033,10194
3412,3354,3033,10193,3412,3353,3033,10192
3412,3354,3033,10194,3413,3355,3034,10196
3419,3361,3038,10211,3418,3361,3037,10211
3419,3361,3038,10213,3419,3362,3038,10214
3419,3362,3038,10215,3419,3361,3038,10213
3409,3350,3031,10183,3408,3350,3031,10181
3407,3349,3030,10180,3407,3349,3030,10180
3407,3349,3030,10178,3406,3348,3029,10177
3406,3348,3030,10177,3407,3349,3030,10179
3406,3348,3030,10177,3407,3349,3030,10179
3409,3351,3032,10185,3412,3354,3033,10193
3413,3355,3033,10194,3414,3356,3035,10198
3413,3355,3034,10197,3412,3354,3033,10192
3411,3353,3033,10191,3410,3352,3032,10188
3410,3353,3033,10190,3412,3355,3034,10196
3413,3355,3035,10196,3410,3353,3033,10190
3409,3351,3032,10185,3409,3351,3032,10185
3408,3350,3031,10182,3407,3349,3030,10180
3407,3349,3030,10179,3407,3349,3030,10180
3410,3352,3032,10188,3415,3356,3035,10199
3416,3357,3036,10204,3418,3359,3036,10207
3419,3360,3037,10211,3419,3360,3038,10210
3419,3360,3037,10210,3419,3360,3037,10210
